Kyrgyz Republic,KGZ,70.40243902
Cambodia,KHM,68.21229268
Kiribati,KIR,65.95168293
St. Kitts and Nevis,KNA,68
Korea,KOR,82.15585366
Kosovo,KSV,71.09756098
Kuwait,KWT,74.58502439
Latin America & Caribbean (developing only),LAC,74.62752115
Lao PDR,LAO,66.11736585
Lebanon,LBN,79.37309756
Liberia,LBR,60.83441463
Libya,LBY,71.71612195
St. Lucia,LCA,75.04685366
Latin America & Caribbean (all income levels),LCN,74.94206018
Least developed countries: UN classification,LDC,63.19044594
Low income,LIC,61.3250973
Liechtenstein,LIE,82.26097561
Sri Lanka,LKA,74.79480488
Lower middle income,LMC,67.22826476
Low & middle income,LMY,69.59407902
Lesotho,LSO,49.70058537
Lithuania,LTU,73.96585366
Luxembourg,LUX,82.20731707
Latvia,LVA,74.18780488
Macao SAR,MAC,80.55309756
St. Martin (French part),MAF,79.32195122
Morocco,MAR,74.01609756
Monaco,MCO,76
Moldova,MDA,71.45587805
Madagascar,MDG,65.08560976
Maldives,MDV,76.77282927
Middle East & North Africa (all income levels),MEA,72.81665963
Mexico,MEX,76.72185366
Marshall Islands,MHL,66
Middle income,MIC,70.57576432
Macedonia,MKD,75.34239024
Mali,MLI,57.98626829
Malta,MLT,81.74634146
Myanmar,MMR,65.85785366
Middle East & North Africa (developing only),MNA,72.22506088
Montenegro,MNE,76.18070732
Mongolia,MNG,69.46390244
Northern Mariana Islands,MNP,59
Mozambique,MOZ,55.02595122
Mauritania,MRT,63.01658537
Mauritius,MUS,74.19439024
Malawi,MWI,62.72163415
Malaysia,MYS,74.71829268
North America,NAC,79.24414499
Namibia,NAM,64.68019512
New Caledonia,NCL,77.57317073
Niger,NER,61.4584878
Nigeria,NGA,52.75426829
Nicaragua,NIC,74.81014634
Netherlands,NLD,81.30487805
High income: nonOECD,NOC,73.88269727
Norway,NOR,81.75121951
Nepal,NPL,69.60468293
New Zealand,NZL,81.40487805
High income: OECD,OEC,80.8846106
OECD members,OED,80.13214277
Oman,OMN,77.08509756
Other small states,OSS,62.2866207
Pakistan,PAK,66.18336585
Panama,PAN,77.59514634
Peru,PER,74.52553659
Philippines,PHL,68.26563415
Palau,PLW,72
Papua New Guinea,PNG,62.60692683
Poland,POL,77.25365854
Puerto Rico,PRI,79.37473171
North Korea,PRK,70.07468293
Portugal,PRT,80.72195122
Paraguay,PRY,72.92170732
Pacific island small states,PSS,69.91903222
French Polynesia,PYF,76.54168293
Qatar,QAT,78.59680488
Romania,ROU,75.06341463
Russian Federation,RUS,70.36585366
Rwanda,RWA,63.96565854
South Asia,SAS,68.1210446
Saudi Arabia,SAU,74.33721951
Sudan,SDN,63.45853659
Senegal,SEN,66.37258537
Singapore,SGP,82.64634146
Solomon Islands,SLB,67.93080488
Sierra Leone,SLE,50.87878049
El Salvador,SLV,72.75456098
San Marino,SMR,75
Somalia,SOM,55.35480488
Serbia,SRB,75.53414634
Sub-Saharan Africa (developing only),SSA,58.55832657
South Sudan,SSD,55.68221951
Sub-Saharan Africa (all income levels),SSF,58.55893507
Small states,SST,65.27192218
Sao Tome and Principe,STP,66.38460976
Suriname,SUR,71.15143902
Slovak Republic,SVK,76.71463415
Slovenia,SVN,80.5195122
Sweden,SWE,81.95609756
Swaziland,SWZ,48.93473171
Sint Maarten (Dutch part),SXM,72
Seychelles,SYC,73.22926829
Syrian Arab Republic,SYR,70.07102439
Turks and Caicos Islands,TCA,65
Chad,TCD,51.55580488
Togo,TGO,59.65580488
Thailand,THA,74.42202439
Tajikistan,TJK,69.59797561
Turkmenistan,TKM,65.59853659
Timor-Leste,TLS,68.25914634
Tonga,TON,72.79219512
Trinidad and Tobago,TTO,70.44056098
Tunisia,TUN,74.14390244
Turkey,TUR,75.1635122
Tuvalu,TUV,65
Tanzania,TZA,64.94390244
Uganda,UGA,58.46641463
Ukraine,UKR,71.18658537
Upper middle income,UMC,74.65762609
Uruguay,URY,76.98614634
United States,USA,78.94146341
Uzbekistan,UZB,68.33902439
St. Vincent and the Grenadines,VCT,72.93685366
Venezuela,VEN,74.23619512
Virgin Islands (U.S.),VIR,79.77317073
Vietnam,VNM,75.62912195
Vanuatu,VUT,71.91831707
West Bank and Gaza,PSE,72.90402439
World,WLD,71.45174503
Samoa,WSM,73.51182927
Yemen,YEM,63.81819512
South Africa,ZAF,57.18212195
Democratic Republic of Congo,COD,58.65919512
Zambia,ZMB,60.04704878
Zimbabwe,ZWE,57.49831707
